full_text,Label;;;
@Gerindra @prabowo Pak prabowo bikin semua orang jadi tergemoy2,POSITIF;;;
@akuboekankamu @BosPurwa @prabowo @bawaslu_RI Percuma bro lapor tuh lembaga perut mereka udah kenyang tinggal tidur doang...Makan pake uang rakyat kerjanya Tidur.#BubarinBawaslu,NEGATIF;;;
@Metro_TV @prabowo @aniesbaswedan Dasar tidak punya etika dalam debat,NEGATIF;;;
@fulan77777 @PartaiSocmed @aniesbaswedan @prabowo kalo masih manusia ya harusnya malu si wkwk,NEGATIF;;;
@Ridhoi95544912 @BosPurwa @papaklepoonzzz1 @ZUL_Hasan @prabowo Setuju rakyat pada dasarnya hanya menginginkan lapangan kerja tersedia pendidikan yang layak tempat tinggal yang layak sandang pangan tersedia Harga kebutuhan pokok yang terjangkau ( termasuk BBM ) Kalau semua itu ada rakyat adem ayem aja kok ️,POSITIF;;;
@ajengcute16__ Tai kucing, kepala lu, prabowo yg paling belepotan, bawaan udah tua, bentar lagi kolesterol naik tuh https://t.co/N6aXfotlpM,NEGATIF;;;
@yusufagro @prabowo @AgusYudhoyono @alextham878 @andre_rosiade @AlmaghribiS @BANGSAygSUJUD @Kimberley_2024 @Chaves1305 @Kenikir27 @G0mb4k @askencana ada yang nginjak rakyat pemilihnya, nginjak ulama, dan nginjak ustadz...  pilih dia? ooo tidak...,NEGATIF;;;
@Dahnilanzar @Fahrihamzah Framming lu lebih jahat nih... Klo anies lu katakan bengis, klo gitu @prabowo jauh lebih bengis lagi krn dia telah menculik para aktifis 98 dan hilangkan nyawanya bahkan tak diketahui kuburnya. Itu Fakta , makanya si wowo dipecat dr tni.. ! Ngeri klo penculik pimpin negeri ini,NEGATIF;;;
@are_inismyname @prabowo @99propaganda @bengkeldodo @P4P4B0W0_2024 @alextham878 @Ndons_Back @Alie_Fahnoor @Bank_Joee_ @florieliciouss @Kimberley_2024 @KhoirilAnwar_ Narasi sampah pelanggar ham aktivis diculik hingga menghilang,NEGATIF;;;
Prabowo dihati rakyat adalah bukti nyata bahwa kepercayaan itu tidak hanya sekadar kata-kata, tapi sesuatu yang tercermin dalam tindakan dan dukungan riil. #02UntukPersatuan,POSITIF;;;
@Hasbil_Lbs Etika PRABOWO dg KRONINYA dan PENDUKUNGNYA  ,yg hanya bersandar JOKO tapi tidak pada TUJAN ( ALLAH SWT  ) ...  KASIAN si WOWO sang AMBISIUS,NEGATIF;;;
Kiyai, harap maklum, Prabowo memang lebih akrab dengan strategi militer daripada etika sosial @krisnaDJ21 https://t.co/zKwc5mlC0Q,POSITIF;;;
Pilpres kali ini bagus, pendukung ganjar dan pendukung anies bersatu menyerang pendukung Pak Prabowo,NEGATIF;;;
@hasyimmah Prabowo diseringkan kasih panggung, udh pasti bnayk blunder..kita lht nt uji publik yg akan dlkukn di muhammadiyah.. smg aja well perform. Wakilnya yg mmg payah smg jg mnnjukan ide2nya utk Indonesia. Sy ragu keduanya akan tampil baik,NEGATIF;;;
@Leonita_Lestari Wadas proyek skala nasional tanya saja presiden, tdk usah masuk ke area itu bu, bgmn soal rempang!? Kalau prabowo menang biarlah dia nikmati kemenangan itu tanpa rendahkan ibu mega, itu jalan nya garis takdirnya. Apakah prabowo kalah dari jokowi dia terlunta dan hilang!?,POSITIF;;;
"Org² yang mempertanyakan kemaren² kemana kok baru bahas kasus ham prabowo pas dia nyapres"" enrages me kek WOI trs masyarakat yang ke istana negara tiap hari kamis buat nuntut penyelesaian kasus² pelanggaran ham TERMASUK tragedi 98 LU ANGGEP APA"",NEGATIF";;;
@kiki_daliyo Kata Gemoy tidak bisa menutupi sifat asli seseorang, jika sudah bawaannya tempramental ya tidak akan bisa berubah. Prabowo Bukan Jokowi,NEGATIF;;;
@Dennysiregar7 Ngapain lagi si Prabowo nyapres? Udah jelas-jelas aja kalah terus. Gak ada ide baru apa gimana?,NEGATIF;;;
@imanlagi @rekreasiyuk Ya kn bs di balik layar man..sukses lah apapun pilihannya..titip bwt smua timses kl bs dbkin riang gembira..rakyat bosen kl black campain trs..anies dserang cz dl maenin politik identitas,prabowo dserah karena HAM, ganjar karena liat bokep,NEGATIF;;;
@Perju4ng4n @prabowo @Gerindra @mediaindonesia @indikatorcoid @saifulmujani @poltracking Pilpres Riang Gembira pak prabowo akan membawa perubahan yg lebih baik untuk bangsa kita #PrabowoGemoy,POSITIF;;;
@mas_veel Dari sebelum debat sudah ketahuan, Anies pasti jago silat lidah dan Prabowo pasti dikeroyok oleh tema Hukum dan HAM. Yang surprise justru Ganjar yang sama sekali ga memorable dalam debat kemarin. Paling yg sy ingat soal pupuk dan salah sesi bertanya. Come on, pak Ganjar...,NEGATIF;;;
@AlfatihDhany Harap tenang Prabowo pasti menang,POSITIF;;;
@RcyberProj0 @prabowo @gibran_tweet @Projo_Pusat mkmkmkmkmkmkmkmkmkmkmkmk..........Habib Luthfi dukung gibran cok,POSITIF;;;
@suaradotcom Prabowo dan Gibran, pilihan yang luar biasa untuk memimpin masa depan kita!,POSITIF;;;
@Beritasatu Persiapan kecurangan prabowo-gibran,NEGATIF;;;
@Dennysiregar7 Semakin Prabowo blunder samain naik pesanannya begitu! Setiap blunder langsung di tutup survei supaya masyarakat lupa, entar debat KPU juga survei lagi buat menutupi kepanikan.,NEGATIF;;;
@PartaiSocmed Prabowo masa lalu Anies masa depan  Anies bukan yang terbaik.  Tapi adanya Aneis doang yang minat untuk dipilih.,NEGATIF;;;
@geloraco Pak @prabowo @Gerindra , kami rakyat jelata juga sdh letih di bawah. Kami juga ingin damai dan gembira. Tapi kalian sendirilah yg menciptakan kegaduhan melalui pelanggaran2 aturan main hingga kami tdk percaya pd institusi negara. Berhentilah menganggap rakyat bodoh!!,NEGATIF;;;
@bengkeldodo Prabowo hanya akan mengutamakan bisnis dan perusahaan pribadinya kalau berkuasa orientasi dia hanya akan bagai mana berkuasa kepentingan negara dan rakyat nomor 1000 mengerikan kalau tipe karakter dan watak Prabowo dgn latar belakang militer kalau berkuasa https://t.co/g1sKe4mbjJ,NEGATIF;;;
@are_inismyname Banyak yang mungkin tak tahu, tapi Prabowo telah korbankan banyak hal demi memajukan negeri tercintanya. Pengabdian tanpa batas untuk Indonesia!,POSITIF;;;
@beng05948675 @Obay_Kusut1981 @prabowo @Fahrihamzah Hihihi gemoy [gede emosi ye],NEGATIF;;;
@alextham878 pendukung asam sulfat memang syaratnya harus goblok prabowo sendiri bbrp kali mengangkat tangan guna meredakan riuh pendukungnya  lah yg di bawah kok malah jadi pemandu sorak  gobloook... goblok.,NEGATIF;;;
@tempodotco Lagi senang karna pak prabowo yang paling mengerti kami,POSITIF;;;
Gak ngaruh tetap Prabowo dihati..,POSITIF;;;
@Hasbil_Lbs Hahaha prabowo aja? Gibrannya mana woy 🤣🤣🤣🤣🤣🤣,POSITIF;;;
@PartaiSocmed @aniesbaswedan @prabowo ARB tidak menyebutkan bahwa korban tsb adalah salah satu pendukung Prabowo pada saat itu, substansi dari beliau adalah kasus pelanggaran HAM sampai saat ini belum menemui titik terang, karena pada saat itu yang menyebabkan kerusuhan demo adalah pendukung 02, bukan tum? akui saja,POSITIF;;;
Gelar Apel Sholawat di Jelbuk Jember, Gus Fawait Makin Mantap Dukung Prabowo-Gibran Usai Debat Pilpres Pertama - Radar Jember - Radar Jember https://t.co/0xsWpYaOY1 #MenangSeputaran,POSITIF;;;
...bangsa ini memang bangsa yg mudah dibodoh2-i walaupun ketelanjangan sdh di depan mata..bagaimana prabowo janji membuat negeri ini kaya kalau kampanye saja sdh buat tni-au miskin krn biaya opersionalnya tersedot...apalagi si andre ikut2-an nebeng buat kampanye terselubung...,NEGATIF;;;
@are_inismyname @prabowo @99propaganda @bengkeldodo @P4P4B0W0_2024 @alextham878 @Ndons_Back @Alie_Fahnoor @Bank_Joee_ @florieliciouss @Kimberley_2024 @KhoirilAnwar_ Gak malu dukung pelanggar HAM wkwk,NEGATIF;;;
@S4N_W1B1 @ferdinand_mpu Prabowo/Gibran memang satu putaran,POSITIF;;;
@psi_id Hati meleleh deh liat kehebatan Prabowo dan Gibran.,POSITIF;;;
@tjitrosoenarjo1 Kan pertanyaannya setuju gak ada pengadilan HAM masa lalu? Lah malah yg ditanya emosi sendir. Coba tanya begitu ke Anis pasti Anis santai. Emang kenapa Prabowo emosi? Apakah dia pembunuh aktivis itu?,NEGATIF;;;
@OktavianusYahy1 @prabowo @psi_id #KamiMuak Ingin Indonesia Maju Mundur? Pilihlah Capres yg jika ditanya jawabnya joget dan Cawapresnya penemu Asam sulfat untuk wanita hamil.,NEGATIF;;;
@psi_id Pak Prabowo dan mas Gibran pasti menang. Pasti akan di pilih rakyat Indonesia bahkan mendunia,POSITIF;;;
@TeddGus Ted, prabowo ajak jga lah istri sama anaknya  !!!!,NEGATIF;;;
"Bagi kami, kami tidak terlalu peduli dengan janji-janji calon presiden  kami lebih peduli pada mereka yang peduli terhadap desa.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto"",POSITIF";;;
@CNNIndonesia Prabowo, semangat perjuanganmu memotivasi kita semua. Gibran, terus berkarya untuk bangsa!,POSITIF;;;
@chicohakim @ganjarpranowo LUCU.. 2009 PDIP usung Prabowo jadi Cawapres Megawati, PDIP diam aja masalah pelanggaran HAM.wwkw. 2014 Mahfud MD ketua Timses Prabowo, 2019 Prabowo di angkat jadi Menteri Pertahanan, Menkopolhukam nya Mahfud MD, pemerintah ya PDIP, ga ada itu isu2 HAM..wkw. pilres br masalah lg,POSITIF;;;
@abu_waras Prabowo sdh ga pny rasa malu,NEGATIF;;;
@UyokBack @KPU_ID @bawaslu_RI @jokowi @prabowo @gibran_tweet Dulu juga begini kok di 2019 Kades di kumpulin si Nganu,NEGATIF;;;
@Uki23 Aslinya pintar @Uki23 itu orangnya...tapi gara2 dukung Prabowo ya harus pura2 bodoh agar tidak ditendang...  Pertanyaan kpd @Uki23 ... 17juli itu sudah ada penetapan capres dan cawapres kah??,NEGATIF;;;
@alextham878 Tim Prabowo kreatif politik hrs bahagia penuh suka cita. Yg senang biasanya yg menang,POSITIF;;;
@Dennysiregar7 Tp tololnya ganjar nyerang prabowo pakai isu ham....standar bngt...cemen..,NEGATIF;;;
semangat pagi sahabat² pecinta ayah @prabowo &amp  mas wali @gibran_tweet. tetap senyum dan riang gembira.  jangan tiru neo k+drone a.k.a. ganjaris bokeper yg tiap hari panik, ngamuk, kalap, baperan dan cengeng.  mulailah pagimu dgn joget GEMOOOY https://t.co/pVeEN5Ryot,POSITIF;;;
@AgusWal94375009 @yusuf_dumdum @jokowi @prabowo Mari berjuang Rakyat hrs kuat meperjuangkan kebebasan berekspresi,POSITIF;;;
@Uki23 Mareka bingung mau nunjukin hebatnya yg mareka dukung.... Jadinya yg mareka omongin hanya prabowo gibran....,POSITIF;;;
@DediMulyadi71 @prabowo Apa lg kalau 3 kali kalah pilpres terus, tambah guling guling paling,NEGATIF;;;
@Kanseulir Gak sia2 Prabowo 4 tahun ini jadi anak buah dan pengikut setia Jokowi. Buah jatuh tak jauh dari Prabowo.,POSITIF;;;
@Fahrihamzah Prabowo pasti menang!,POSITIF;;;
@PartaiSocmed @prabowo Eksploitasi anak untuk promosi Syusyu gratis di kampanye juga JAHAT! Tapi jadi baik dan terhormat di mata pak ketum sekarang.,NEGATIF;;;
@uniemara @geloraco Malu2in aja Anda @prabowogibran02 , @prabowo   @bawaslu_RI harus lebih objektif lah (walau saya pesimis).,POSITIF;;;
@gibran_gen @gibran_tweet @prabowo pemimpin yg peduli dengan masyarakat nya ya mas gibran,POSITIF;;;
@blantik_pedhet1 udahlah pokoknya tetap Prabowo Gibran,POSITIF;;;
Kekecewaan terhadap Prabowo semakin berkembang, seharusnya beliau lebih memperhatikan etika dan tata krama dalam berinteraksi dengan masyarakat @saffanisahalim https://t.co/r5jLOmhe6e,POSITIF;;;
@XC1R3NG @prabowo Pagi kang,POSITIF;;;
@UyokBack @KPU_ID @bawaslu_RI @jokowi @prabowo @gibran_tweet Gas lah min timbang ngabis2in duit aja. Ngurus negara kek dibuat main2 aja ama kalian @KPU_ID,NEGATIF;;;
@mimpi3periode @prabowo @gibran_tweet Etik etik ndasmu,NEGATIF;;;
@KompasTV Hnya pak Prabowo yg sampai ke air untuk rakyatnya saja dia pkirkan. Terimakasih ya pak gemoyy,POSITIF;;;
@Fahrihamzah Udah g bisa melawan takdir bahwa prabowo akan kalah terus..🤣🤣🤣,NEGATIF;;;
@sigitwid Survey tinggi, tp sama baliho @ganjarpranowo takut😂😂😂 Ketika elektabilitas Prabowo mulai mencapai titik jenuh, penggiringan opini hrs dilakukan. Hari2 kedepan akan sangat menyiksa Prabowo. Blunder marah2 kpd kyai di Malang akan terjadi lg. Bisa dgn kelompok guru, nelayan dll,NEGATIF;;;
Selain menginisiasi program air bersih, Prabowo dinilai mampu menguatkan pertahanan negara. Lebih lanjut Igor menegaskan, adannya sumber air bersih dapat memberikan manfaat yang besar, mulai anak kecil, dewasa hingga orang tua.,POSITIF;;;
@psi_id All in Prabowo-Gibran All in PSI,POSITIF;;;
@DediMulyadi71 @prabowo harapanya presiden lebih baik dari pada presiden sekarang dan saya udah gak mau milih yg udah kalah 2x sama pak Jokowi,NEGATIF;;;
@sandiuno @MataNajwa @ridwankamil @erickthohir Menurut  hashim prabowo yg tua koruptor jadi milih bocil https://t.co/aTVimOVbBB,NEGATIF;;;
@Kimberley_2024 utang sandi pun buat keperluan kampanye mereka berdua, bukan keperluan anis aja kan? waau akhirnya sandi ninggal jakarta &amp  lebih milih maju sama prabowo,   btw skrg sandi ko d 03, kenapa lanjut sama prabowo d 02?,NEGATIF;;;
@Hasbil_Lbs @aniesbaswedan Kejutannya adalah Prabowo kalah telak,NEGATIF;;;
@mimih6mei @alextham878 @idrisbue @Babe_babegalak @Raden_Wijaya008 @bengkeldodo @abby6mei Jambi all in prabowo gibran mantapss,POSITIF;;;
@Geyelicius @prabowo Tuh dicari sama pang bandrang,POSITIF;;;
@Sabrinaa_ina Prabowo pasti menang,POSITIF;;;
@Muhammad_Saewad Silat lidah jagonya. 01 Yang begini nih jago ngeles. Jejak digital masih ada masih mau bicara etika. Makanya Prabowo nyebut namanya..sebenernya dari situ juga seharusnya sudah ngerasa...cuma di tebel tebelin aja mukanya...,NEGATIF;;;
@Kimberley_2024 Knp pak prabowo berani mengajak pak Gibran yg merupakan keputusan MK yg kontroversi. Mari berpikir secata akal sehat, diskusi akal sehat. Secara pak prabowo matang dalam berpolitik, knp gak milih orang muda yg mumpuni baik secara karir politik, wawasan kenegaraan &amp  berpengalaman.,POSITIF;;;
@gm_gm Mkmkmkmkmkmkmk... Bs2 lempar gelas om sama Prabowo,NEGATIF;;;
@Gerindra @prabowo Pak Prabowo pemimpin yang paling merakyat diantara semua pemimpin yang ada di muka bumi ini,POSITIF;;;
@PartaiSocmed @aniesbaswedan @prabowo Kenapa penembaknya gak diseret pembunuhan,NEGATIF;;;
@KompasTV PEMUDA ALL IN PRABOWO-GIBRAN,POSITIF;;;
Bawaslu Selidiki Dugaan Pelanggaran Pj Gubernur Jateng Nana Sudjana Jemput Prabowo https://t.co/oBs5K7y1BS,NEGATIF;;;
Prabowo masa lalu, Amin masa depan!,NEGATIF;;;
@kiki_daliyo Yaelah ya jelas lah wowo kan sosok yang sangat seram di bilang ajah GEMOY padahal mah hiiii   emosian lagi   Prabowo bukan Jokowi,NEGATIF;;;
@BdoorSh26 @1HandeDelisii @prabowo @gibran_tweet @Gerindra @golkar_id @Official_PAN @PDemokrat @psi_id @partaigeloraid @Paltiwest @narkosun @mas_veel Dari pada banyak janji mbak,NEGATIF;;;
Setiap pagi membaca twitter dan terlewat Gibran masih tidak habis pikir.  Kenapa Pak Jokowi memaksakan Gibran, dan mengapa Pak Prabowo serta politisi senior sekelas Pak SBY juga menerimanya.  Dari awalnya kecewa dan marah pada Gibran, kini mulai terbersit rasa kasihan.,POSITIF;;;
@Beritasatu Wah, Prabowo dan Gibran sungguh luar biasa! Mereka fokus mengembangkan sumber daya manusia dengan sepenuh hati!,POSITIF;;;
@bawaslu_RI  @kpu_ri  Seharusnya diskualifikasi pasangan Prabowo Gibran karena sudah melanggar Etika dan Moral serta melanggar Aturan Pemilu Perangkat Desa tidak boleh dukung salah satu paslon harus NETRAL https://t.co/AKOF4eyFq9,NEGATIF;;;
@tvOneNews Terimakasih pak prabowo susu ultra nya bikin kita jadi bisa terbang,POSITIF;;;
@OposisiCerdas Cuma Prabowo pemimpin yang berjiwa besar seperti ini,POSITIF;;;
@gm_gm Bapak sudah tua kok kasar, roasting pak Prabowo memangnya beliau pernah bikin salah sama bapak?,POSITIF;;;
@Gerindra Siapp all in Prabowo gibran ️,POSITIF;;;
Prabowo kayaknya mikir, jabatan tangan itu bisa menyebabkan pusing Makanya dihindari biar kepala tetap dingin @sapphichris https://t.co/7PWejUpmjC,NEGATIF;;;
@Gank_Of_Petojo @prabowo @jokowi @SiPeNutur Serial Drama Sinetron Sudah Dari Dulu2 Kah ❓  🙊🙈,NEGATIF;;;
@hasmibakhtiar Tak akan menang prabowo mu itu kawan... TIDAK AKAN.,POSITIF;;;
@CNNIndonesia Prabowo, inspirasi kepemimpinanmu menginspirasi kita semua. Gibran, sukses untukmu!,POSITIF;;;
@BarBaro5_ @prabowo @gibran_tweet @jokowi @Tjel0up Bodoh itu jangan diumbar... TLmubini menunjukkan kebodohanmu..,NEGATIF;;;
@Merdeka2124 Prabowo blunder d tanya Ganjar soal korban orang hilang,NEGATIF;;;
@Uki23 Sama goblok nya pendukung ga ajr bokep dan Prabowo pengkor😜😆,NEGATIF;;;
Tidak ada satupun kelurahan yang tidak terjamah oleh Prabowo-Gibran di desa-desa kampung-kampung dan di gang-gang perkotaan. Kalau itu dijalankan dengan baik saya perkirakan tidak sulit untuk Prabowo-Gibran menang satu putaran kata Muzani.,POSITIF;;;
Tak Bahaya ta? Colek si Roban dan kawan-kawannya nih Berikut cuplikan artikelnya : Saya dukung Prabowo Prabowo pasti menang. Saya resep banget liat Pak Prabowo orangnya gagah ujar Suparlan (50) warga Bojong Pondok Terong Kota Depok Dia mengatakan ikut mendukung aksi https://t.co/TZxNn6eXxa,POSITIF;;;
Usai Debat Perdana Capres TKD Sumsel Pede Prabowo-Gibran Bisa Menang 75 Persen https://t.co/v2wVwxaioX,POSITIF;;;
@KompasTV pak prabowo pemimpin sejati emang top banget,POSITIF;;;
@yusufagro @prabowo @AgusYudhoyono @alextham878 @andre_rosiade @AlmaghribiS @BANGSAygSUJUD @Kimberley_2024 @Chaves1305 @Kenikir27 @G0mb4k @askencana Dan semua pncitraan yg gemoy dll hilang dengan 'etika ndasmu',NEGATIF;;;
Prabowo, kiyai bukan ujian kekuatan, gak bakal hancur tanganmu kalo disentuh @kkaepjangie https://t.co/VYFRP53GKG,POSITIF;;;
Itu Janji untuk Pilpres 2019. Tidak ikut mencalonkan dan fokus tuntaskan sumpah gubernur lima tahun. Lalu Pak Prabowo ikut Pilpres 2019 dgn sandi( eh kalah lagi) dan Pak Anies tepati janji gk ikut nyalon saat pilpres 2019 😌 #salamakalsehat #AMIN2024,NEGATIF;;;
@Ratih_Kusuma60 saat ini prabowo sudah mulai terpengaruh oleh aseng,NEGATIF;;;
@TeddGus @prabowo @gibran_tweet @ganjarpranowo @mohmahfudmd Bilangnya kampanye sejuk santuy tapi isi dari postingan²nya hujatan dan cacian terhadap paslon dan pendukung lain.... Sungguh membagongkan,NEGATIF;;;
@Maaacaaroni @Linasyafitri_ls @itbfess Realita politik tingkat elite emg jahat kak, bahkan salah satu korban penculikan masuk partai Prabowo, namanya Pius. Tapi bukan berarti Prabowo ga salah, upaya utk mengadili Prabowo sudah lama dilakukan selain daripada pemecatan, tapi memang tidak ada keseriusan pemerintahnya,NEGATIF;;;
@Shin23q @Resty_J_Cayah @Dahnilanzar @prabowo Sayang nya kamu hanya korban mulut manis WAN Abud ahli menata kata 😆,NEGATIF;;;
Prabowo Capres tidak punya etika #Muak!!  Tanpa km kasih tau poro yai weruh nek calon pres super sibuk #prabowo_Tempramen,NEGATIF;;;
@tempodotco @prabowo Apa ngamerasa selama ini sudah dihukum rakyat Indonesia. Stiap pemulu kalah.,NEGATIF;;;
@OposisiCerdas Kyk nya bener apa yg dikatakan jurkam prabowo perihal makan siang gratis utk pencegahan stunting banyak yg bisa baca tp gk paham isinya. Jd yg stunting itu sepertinya pejabat kt bkn balita2,POSITIF;;;
@alisyarief Gak bakal menang Prabowo gibran,POSITIF;;;
@yusufagro @prabowo @AgusYudhoyono @alextham878 @andre_rosiade @AlmaghribiS @BANGSAygSUJUD @Kimberley_2024 @Chaves1305 @Kenikir27 @G0mb4k @askencana Bismillah  Apa pun ocehanmu g ngaruh krn kmi yqn  Anis capres terbaik d antra yg baik Anis msa depn indonesia Smg psngn amin anis muhaimin menang menang menang Aamiin,NEGATIF;;;
@panca66 Makanya bego aja yg membela Prabowo Sampai berkali-kali. Dimana Letjend Prabowo ketika pendukungnya yg mati2an mendukung dia dikriminalisasi ?? Gak ada dia gk nongol. Dan begitu koar2 mempertaruhkan nyawa !!! Entut,NEGATIF;;;
@Metro_TV @prabowo @aniesbaswedan Pak Prabowo harus menang karena beliau yang terbaik di dunia,POSITIF;;;
@GreenpeaceID Emang bodoh Prabowo Menhan kok ngurusin Makanan Emang gajelas orang tua itu, lebih jelas Orang Tua yang ada cap nya,NEGATIF;;;
Petani lebih paham ini, pak Amran sebanarnya paham tentang pertanian tetapi Krn dia bergabung deng partai Gerindra maka harus mempoles jejak pak Prabowo atas kegagalan food estate dng menanam jagung diatas poliback,NEGATIF;;;
@Fahrihamzah Syarat jdi pendukung Prabowo harus goblok 2,NEGATIF;;;
@Naz_lira @jansen_jsp @prabowo Kalo Rakyat Tidak Suka dg Pra-Gib Ya Tidak Usah Pilih = Pernyataan dia Saya tdk minta dukungan Kyai Ulama &amp; Santri Pertanyaan: 1.Bagi2 BLT dibalut Sembako? 2.Bagi2 Amplop pd Dandim? 3.Milyaran Sogok Kyai Ponpes 4.Nasi Kotak ke Ponpes lalu minta didoakan Santri? KESIMPULAN???,NEGATIF;;
@VIVAcoid @prabowo @habiburokhman semangat bapak,, wajah bapak familiar selalu hadir di kegiatan Indonesia pemilu,,2014_2019_skrg 2024 tetap semangat umur boleh tua semangat anak muda,, mantaaapp dehhh aaahh 😁👍,POSITIF;;;
@FaldoMaldini Tidak perlu hidup di zaman orba u/ tau siapa pak prabowo,POSITIF;;;
@perangutan23 @digoindo @PartaiSocmed @prabowo Lah Bosnya kn menteri hukum &amp  ham kq gk  nglarang?,POSITIF;;;
gaspol maju terus untuk mas gib dan pak prabowo...,POSITIF;;;
@syalalaela @prabowo @Gerindra politik kalau dijalankan dengan bener pasti jadinya Pilpres Riang Gembira #PrabowoGemoy,POSITIF;;;
@xquitavee @jokowi PDIP itu kalah jd oposisi, Pak Jokowi kl  sampe Prabowo kalah....,,NEGATIF;;;
@fadlizon @prabowo @Gerindra calon pemimpin langka yg perlu dijaga dan dilestarikan adanya nih,POSITIF;;;
@kompascom Jadi SKIPPPPP aja pilih PRABOWO &amp; GIBRAN,POSITIF;;
@kurawa Kalah ya biasa, paling ngga tetap konsisten tidak ada di barisan yang menolak Prabowo jadi Presiden. Ganjar Mahfud!!,NEGATIF;;;
Ing ngarsa sung tuladha, ing madya mangun karsa, tut wuri handayani.”  ( Di depan memberikan contoh yang baik, di tengah dapat memberikan semangat, dan di belakang bisa memberi dorongan).  dijalankan oleh Bp @prabowo Capres 02 yg kaya akan pengalaman, baik sebagai oposisi maupun…,POSITIF;;;
