tweets;label
ingatlah wahai saudara saudari se bangsa dan se tanah air agar nkri dapat ganjaran hidayah barokah dan ijin dari tuhan yme maka pilih lah pak ganjar tuhan menyukai capres yang legal konstitusional dg nomor ganjil 3;POSITIF
 performa pak ganjar saat melakukan debat capres kemarin nggak kaleng kaleng;POSITIF
 aku tidak ingin ngomongin soal debat mereka apalagi cara mereka saling beradu argumen lebih ke pengenalan dari 3 pihak capres cawapres yang paling terkenal menurutku pak prabowo pak ganjar pak anis ;POSITIF
 penampilan pak ganjar dalam debat capres pertama keren;POSITIF
 setelah melihat acara debat capres pertama semakin yakin ganjar paling tegas karena tegak lurus hukum jujur tidak suka penundaan tidak plinplan hitam putih bukan abu abu dan paling sat set;POSITIF
mana prestasi capres cawapres lain;POSITIF
dalam pembukaan debat capres ganjar pranowo menegaskan bahwa partai politik sebagai agregasi salah satu fungsi partai politik yang memiliki peran krusial dalam memelihara fondasi demokrasi yang kuat memang pelaksanaan demokrasi di indonesia masih dihadapkan pada berbagai ;POSITIF
ganjar pranowo sebut debat capres pertama sebagai pemanasan temponasional;POSITIF
 pak ganjar disana keliatan bukan sebagai capres tp sebagai wasit perlombaan ;POSITIF
indonesia butuh pemimpin seperti ganjar sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
mantap lah pak ganjar sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
soal debat capres perdana ganjar sinyal positif buat saya lanjutgan lanjutgansemuakerja lanjutgansemuamurah ganjarsikatkorupsi ganjarmahfud ganjarpranowo gerakcepat mahfudmd indonesiaunggul indonesialebihbaik ;POSITIF
 klo saya yg menilai diantara 3 capres yg debat yg paling mampu utk memimpin negeri ini ya ganjar mahfud;POSITIF
percaya ganjar untuk indonesia sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
seluruh masyarakat indonesia siap mendukung ganjar pranowo sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
pak ganjar ini memang keren sekali sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
sosok pemimpin yang merangkul semuanya sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
 setuju banget ganjar paling tegas diantara capres lainnya karena dari setiap beliau menyampaikan gagasannya selalu mudah dimengerti dan sangat bijak;POSITIF
ganjar terbaik sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
tidak diragukan sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
bersama dukung ganjar pranowo 2024 sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
indonesia butuh sosok ganjar melanjutkan kepemimpinan presiden jokowi sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
mantap lah pak ganjar sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
ganjar pranowo nyatakan diri siap maju sebgai capres 2024 sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
indonesia butuh sosok ganjar sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
ganjar selalu teratas dalam survei elektabilitas sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarcapres ;POSITIF
 saya setuju ganjar memang menunjukkan kepemimpinan yang kokoh dan tegas dalam debat capres kemarin ganjar paling tegas;POSITIF
 ganjar tidak hanya tegas tapi juga memberikan solusi yang konkret dan realistis dalam debat capres ganjar paling tegas;POSITIF
alam ganjar sm eca tu beneran gaksih wkwkwkw lucu deh eca diajak nntn debat capres ;POSITIF
 suka banget dengan sikap pak ganjar paling tegas karena capres lainnya biasa biasa saja;POSITIF
 yeeaayy ganjar juaraa capres gw bener bener keren;POSITIF
 ganjar paling tegas dari capres lain yg sudah jelas;POSITIF
fakta yang tidak bisa di bantah ituu hanya ganjar paling tegas diantara capres lainnya ;POSITIF
 narasi hanya kecurangan yg bisa mengalahkan p anis itu udh muncul sejak awal beliau deklarasi pencalonan sih bang aku udh sering liat komen2 begitu jd jauh sblum k3 capres punya cawapres pdhl saat itu survey p anis paling rendah yg pertama p ganjar _;NEGATIF
outfit yang digunakan pak ganjar dan pak mahfud dalam debat capres pertama bukan kaleng kaleng yaa semua memiliki makna ganjarmahfudsatset paktelur ;POSITIF
outfit yang digunakan pak ganjar dan pak mahfud dalam debat capres pertama bukan kaleng kaleng yaa semua memiliki makna ganjarmahfudsatset paktelur ;POSITIF
 ganjar lumayan baik kali ini tapi anies jauh lebih baik dalam debat capres kemarin ;POSITIF
beda jalur saat zaman orba dgn zaman rezim kekinian ganjar mahfud paling joss budiman sudjatmiko angkat bicara soal fotonya berpose mengepalkan tangan saat debat capres prabowo subianto sama dengan pose saat menjadi aktivis era orba ;POSITIF
hasil survei terbaru capres 2024 prabowo vs ganjar vs anies ;POSITIF
rate debat capres perdana akademisi anies 9 ganjar minus dan prabowo tak nyambung ;NEGATIF
 betul tapi dia punya modal yg sngt jauh lbih bsar dr capres lainnya krn beliau oengusaha dgn satu anak yg sdh mapan kurang lebih p prabowo punya harta 2 3 trilyun ganjar 14 m anies 11 m data lhkpn intinya p prabowo tdk mungkin ngutang kalo anies ada om brewok yg modalin he3;POSITIF
 emang ada capres secerdas dan setegas pak ganjar jelas gak ada dong tetap pak ganjar mahfud yang terbaik;POSITIF
kumpul di markas tpn ganjar mahfud bahas strategi hingga polling publik soal debat capres lanjutgan lanjutgansemuakerja lanjutgansemuamurah ganjarsikatkorupsi ganjarmahfud ganjarpranowo gerakcepat mahfudmd indonesiaunggul indonesialebihbaik ;POSITIF
tpn ganjar mahfud soal hasil debat capres perdana pak prabowo bukan jokowi pemilu;POSITIF
 betul maksud sy dia punya modal yg sngt jauh lenih besar dibanding caores lainnya p prabowo punya harta 2 3 trilyun krn dia pengusaha sementara capres lainnya kurang lebih ganjar 14 milyar anis 11 milyar itu data dr lhkpn kan biaya pilpres g cukup 100m he3;POSITIF
 paling tegas karena meyakinkan antara kata dan perbuatan dapat dilakukan pasangan capres ganjar mahfud set set tes ;POSITIF
 tak ada keraguan sedikitpun terhadap apa yang sudah disampaikan oleh capres ganjar pranowo;POSITIF
 gk salah jg sih kalo bnyk yg bilang pak ganjar satu2 nya capres yg paling bs melanjutkan program2 kinerja pak jkw krn dari rekam jejaknya mmng spt itu;POSITIF
 dari semua capres ganjar paling tegas memberikan gagasan nya;POSITIF
ganjar paling tegas melawan korupsi dr capres lain ;POSITIF
 pak ganjar memang capres yang hebat dan siap memberikan jawaban dalam debat nanti sukses selalu pak;POSITIF
hasil analisis polling performa debat perdana capres 1 anis baswedan 77 7 2 prabowo subianto 7 2 3 ganjar pranowo 13 1 men mbusbatas freepalestine ;POSITIF
 menurutku sih pak ganjar paling tegas ya diantara capres yang lainnya;POSITIF
 pak ganjar capres yang tepat untuk bangsa ini semoga mendapatkan kemenangan yang terbaik ya pk;POSITIF
 saya setuju sekali pak ganjar memang tegas dan memiliki kemampuan dalam1 menyampaikan gagasannya dengan cara yang mudah dimengerti dan bijak kemampuan tersebut membuatnya menjadi salah satu capres yang menonjol semoga beliau terus menginspirasi dgn kepemimpinannya yang tegas;POSITIF
 berikut hasil jajak pendapat litbang kompas atas debat capres perdana anies baswedan 37 9 ganjar p 22 6 prabowo s 21 8 tidak tahu 17 7 ;POSITIF
 pagi2 jaga bokap di rs denger ibu2 bahas debat capres amin yg ganteng disukai semua kalangan pinter prabowo cuma main blt pengen rakyat miskin terus ganjar mirip jokowi cuma pencitraan aja wanjeerr ;NEGATIF
 hanya pak ganjar yang selalu tenang dan tegas dalam setiap menjawab pertanyaan debat capres ;POSITIF
 debat capres semalam memunculkan pandangan baru tentang ketegasan meskipun prabowo dulu dianggap tegas penampilan ganjar mengubah perspektif banyak orang ganjar palinb tegas terbuka mata bahwa ganjar justru menunjukkan ketegasan yang mencolok dari ketiganya ;POSITIF
 sudah jelas pak ganjar yang terbaik saat debat capres ;POSITIF
 debat capres semalam memunculkan pandangan baru tentang ketegasan meskipun prabowo dulu dianggap tegas penampilan ganjar mengubah perspektif banyak orang ganjar palinb tegas terbuka mata bahwa ganjar justru menunjukkan ketegasan yang mencolok dari ketiganya ;POSITIF
 apapun keputusannya tetap dukung dan memilih pak ganjar capres yang tepat dan terbaik untuk membangun negeri ini;POSITIF
 debat semalam membawa wawasan baru bahwa ketegasan pak ganjar mahfud mungkin tidak hanya menjadi persepsi tetapi juga tercermin dalam kemampuannya untuk menyampaikan argumen secara tegas dan meyakinkan ganjar paling tegas diantara capres lainnya ;POSITIF
kelemahan capres intonasi capres gaya bahasa capres diksi cc ;POSITIF
 jadi gimana nih ganjar mo jadi penerus apa antitesa masih ngambang aja nih capres bingung ;NEGATIF
sentimen negatif ke capres paling tinggi pak prabowo tapi pak ganjar turunnya melejit banget dari data survey  g msuk akal tapi ga heran soale kan yang penting asam sulfat terpenuhi aowkaowk aminpalingsiapuntukindonesia amin2024;NEGATIF
 capres yang tepat itu pak ganjar yang selalu memberikan kemajuan dan kesejahteraan untuk negeri ini;POSITIF
tak terpancing emosi di debat capres ganjar on the track ;POSITIF
 kenapa bawa2 ganjar udahlah semua capres sama saja ;POSITIF
 berdiskusi gapake bahasa kasar bisa ga kontol intinya ketiga capres di debat kemaren masih kurang maksimal ntah anies dengan lip servicenya dan terlalu nonjolin bahwa berkolusi dengan ganjar ngeliat prabowo kurang mateng demgan materi dan prnya apalagi ganjar mlh ngedongeng ;NEGATIF
udah jelas kalau ganjar paling tegas setelah lihat debat capres saya jadi tambah yakin bakal pilih nomor 3 ;POSITIF
 pak ganjar seorang ayah dan suami serta capres yg bisa dibanggakan tak heran full support dari keluarga sangat besar;POSITIF
pengamat ganjar pranowo capres paling siap di debat perdana lanjutgan lanjutgansemuakerja lanjutgansemuamurah ganjarsikatkorupsi ganjarmahfud ganjarpranowo gerakcepat mahfudmd indonesiaunggul indonesialebihbaik ;POSITIF
 kalau kamu aja dianggap tau apalagi sekelas capres ganjar masa tidak tau berarti pengetahuan dan wawasanmu diatas pak ganjar dong awokwokwok ;NEGATIF
 dari debat semalam saya semakin yakin pak ganjar mahfud memang yang terbaik bismillah bersama menuju indonesia unggul;POSITIF
 semangat baru nih suasana debat dengan ketegangan tapi pak ganjar tetap tenang;POSITIF
 ketegasan beliau di debat kemarin membuat saya semakin yakin untuk mendukungnya;POSITIF
analisis sentimen dr droneemprit positif amp berimbang sedangkan terendah negatif tertinggi dan rendah serta terendah debat debatcapres2023 debatcapres2024 ;POSITIF
 pak debat berikutnya tlg tanya ke pak ttg akhlak dan pengaruhnya seseorang nonton bokep yah akan ada dampak dalam pikiran dlm bersosialisasi ga mksdnya kd sering ngelamunin jorok pas lagi ngobrol gitu;NEGATIF
 analisis yang menarik dari ario subagyo memang dominan dalam debat pertama ini dengan visi misi yang jelas dan sikap kalem pujian dan apresiasi tinggi dari masyarakat di media sosial menjadi modal penting untuk ganjar;POSITIF
 mantapz sx pak ganjar dan mahfud md memang terbaik d debat smlm ;POSITIF
 pak ganjar mampu meemberikan gagasan terbaik di acara debat kemarin;POSITIF
 semakin yakin setelah melihat debat kemaren bener bener makin buka mata pak ganjar terbaik;POSITIF
 debat pertama benar benar dikuasai oleh visi misi yang jelas sikap kalem dalam menjawab dan apresiasi positif tertinggi di media sosial membuktikan bahwa ganjar pranowo mampu menginspirasi dan memenangkan hati publik;POSITIF
 pertunjukan memukau dari dalam debat pertama kali ini memang patut diapresiasi paparan visi misi yang gamblang sikap tenang dalam tanya jawab dan apresiasi positif tertinggi dari masyarakat menunjukkan kesiapan yang luar biasa ;POSITIF
 debat semalam seru sih keliatan juga sapa yang pantas dan tidak pastinya ganjar pranowo dan mahfud md lah ;POSITIF
 mengapresiasi fokus pak ganjar pada masa depan rakyat indonesia daripada mencari siapa yang paling hebat dalam debat ;POSITIF
 merespons positif pemikiran bahwa debat bukanlah tujuan utama tetapi bagaimana memajukan kehidupan masyarakat ;POSITIF
 bapak benar benar hebat sekali pak dalam debat memang hanya bapak yg paling tegas;POSITIF
di sesi closing statement debat menyatakan gusar atas tindakan aparat thdp melki ketua bem ui dan butet budayawan provokasi sangat berlebihan ;NEGATIF
 2 pantas pas debat tampil keren banget ternyata disitu main gimick nya di penampilan soal isi dan gagasan debat emang kemarin hadir ya di debat kayak ga ada ;POSITIF
 tidak ada keraguan lagi dalam hati saya saat melihat pak ganjar dipasangkan dengan pak mahfid dan makin yakin setelah melihat debat kemarin saya semakin yakin indonesia akan maju ditangan yang tepat seperti ganjar mahfud;POSITIF
 kerenn pak performanya pas debat kemarin tuh salut aku sama pak ganjar;POSITIF
 pak saya bukan pendukung bapak tetapi di sesi debat kemaren saya suka smile bapak ;POSITIF
 no 3 yg terbaik dalam debat semalam;POSITIF
 terima kasih pak ganjar penampilan anda dalam debat pertama ini sangat memukau kami bangga dengan torehan ini pertahankan pak dan mari kita jemput kemenangan kita salam 3 jari ;POSITIF
 saya ingin lihat pak ganjar debat habis sama pak bidang ekonomi kita lihat siapa yg lebih faham tentang ekonomi ;POSITIF
 dari debat pertama ini saya semakin yakin dengan pak ganjar;POSITIF
 debat semalam andalah yang paling berwibawa amp dewasa teruskan jangan blunder ya pak semoga klo takdir menjadikan anda pemimpin ri1 yang siddiq amanah tabligh fathonah jangan pencitraan seperti presiden wakanda bikin rakyat terpesona karena sok sederhana;POSITIF
 tlg jgn lupa nanti elaborasi terkait strategi maritim dan negara kepulauan tidak muncul dlm topik2 debat capres cawapres ;POSITIF
capres nomor 3 pak menutup penampilannya dalam agenda debat pertama dengan mengingat kembali masa kecil beliau mengatakan dirinya dan pendampingnya cawapres merupakan anak aparatur negara di tingkat kecamatan sama sama orang kecil sahabatganjar ;POSITIF
 semua bisa melihat dan menilai debat semalam memang pak ganjar paling tegas apalagi visi misinya ;POSITIF
 gak apple to apple kl ini pak mahfud kasihan debat ama anak ingusan sama pelawak;NEGATIF
 menyelaraskan pemikiran perkataan dan perbuatan dalam konteks debat menegaskan bahwa tujuan utama adalah menciptakan masa depan yang lebih baik untuk seluruh rakyat indonesia melampaui pertarungan retorika semata ;POSITIF
 pak ganjar aku padamu pak apalagi habis debat ini bapak semakin keren ;POSITIF
 dari awal saya udah ga ragu terhadap dan bahkan dari data pasca debat juga terbukti cuma mereka ygadapat trust tinggi dari khalayak ;POSITIF
 dalam debat itu anies yang terbaik kita harus menyampaikan apa adanya bukan karena semata mata karena mendukung paslon ;POSITIF
 debat semalam luar biasa keren pak semangat teruss;POSITIF
 ganjar family hadir mendukung pak ganjar do debat keren ni kekuatan keluarga yang sesungguhnya;POSITIF
 bukan soal siapa yang jago ngegas di debat tapi lebih ke gimana kita bisa selaras dalam mikir ngomong dan tindakan buat kebaikan rakyat ;POSITIF
 dan kejinya prabowo di debat capres kpu kemarin korban orang hilang th 98 disamakan dg kriminal biasa tanya ke kapolda berapa banyak orang hilang tahun ini di dki kemarin ditemukan mayat dst keceplosan orang ga punya hati nurani begini mau dimandatkan memimpin nkri ;POSITIF
 sangat setuju dengan pesan ini debat bukan hanya soal siapa yang paling hebat tetapi bagaimana kita sebagai rakyat bisa bersatu dalam menyelaraskan pemikiran perkataan dan perbuatan untuk membangun masa depan yang lebih baik;POSITIF
 mantap performance nya di debat dan jawaban nya yg sat set tapi tetap to the point;POSITIF
 salam sehat pak ganjar sukses selalu support pak mahfud dlm next debat;POSITIF
 emang keren banget deh melihat debat dan aksi pak ganjar semalem jadi makin yakin bahwa beliaulah yg tepat untuk dipilih;POSITIF
analisis pengamat ganjar mampu kuasai panggung debat capres secara keseluruhan ganjarpranowo via ;POSITIF
 hebat pakkk teruskan hanya pak ganjar yg tegas dalam debat semalam dan semoga sllu diberikan kesemangatan;POSITIF
 lihat pak ganjar debat secara sat s3t jadi kagum sama public speakingnya lanjutgan;POSITIF
 luar biasa pak ganjar menjawab debat tadi malam dgn bijak dan hebat aku sangat setuju dgn pernyataan nya tadi malam lanjutgan sat s3t;POSITIF
 aku suka gaya pak ganjar pas debat nggak ada keraguan dan penuh keyakinan lanjutgan sat s3t;POSITIF
 mohon maaf sblmnya jenengan niku produk gagal jateng aj msk propinsi termiskin umr terendah banyak jln2 berlubang kasus wadas blom ngapain jg melu2 nyapres p ganjar mundur waeee pak bkn mslh menyelaraskan tp lbh dr kepentingan bangsa dan kemajuan bangsa ;NEGATIF
 terbukti akun goblok khan pendukung di x itu tinggal akun  goblok yang adminnya hanya 1 2 orang dikiranya saya nggak paham pancinganmu ganjar suruh menjawab itu katanya wadas dah beres dah dibayar 22m ke siapa bayarnya ke buzzernya ;NEGATIF
 7 menurut data pendukung anis mayoritas pendidikan menengah ke atas dan prabowo ganjar menengah ke bawah salah satu syukur terbesar saya di diberi rezeki pendidikan yang tinggi jadi bisa lebih bijak dan tidak bodoh;NEGATIF
 sulit dimengerti tapi faktanya kalau bukan ganjar gubernurnya waktu itu pemerintah pusat akan kelimpungan mengatasi tragedi wadas ganjarsikatkorupsi lanjutgansemuamurah lanjutgansemuakerja;POSITIF
 mohon maaf klo saya p ganjar pranowo itu produk gagal jateng aj msk propinsi termiskin umr terendah banyak jln2 berlubang kasus wadas blom selesai ganjar bicara perasaan asbun tdk enak didengar anies bicara selain enak jg lbh berbobot ganjar blas tdk berisi;NEGATIF
 yg bodoh nya atau sumber beritanya wkt ganjar tanya soak mkmk itu sesi tanggapan bukan tanya jawab makanya ditegur moderatornya ganjar respon mau meralat tp tdk bisa paham kan ;NEGATIF
tpn ganjar mahfud soal debat pertama capres prabowo gagal jadi jokowi ;POSITIF
 ya balik ke vidio pak jokowi kalau beliau tidak punya beban masa lalu tapi prabowo punya beban masa lalu dan kalau wadas di tuduhkan benan masa lalu ganjar justri salah karna yg bnr wadas di selesiakn oleh ganjar ganjarsikatkorupsi lanjutgansemuamurah lanjutgansemuakerja;POSITIF
 ganjar kasih contoh kinerja di jateng anies kasih contoh kinerja di jakarta prabowo kasih contoh kinerja jokowi no 2 mau jelaskan kinerja menhan binggung food estate gagal alutsita pesawat bekas harga baru ;POSITIF
 buka dialog krna ada maunya selama ini kemana aj kalian jgn nyinggung pelanggaran ham prabowo klo ganjar sendri pelanggaran ham ny berat d wadas;NEGATIF
 saking binggung nya cari celah kekurangan pak ganjar sihh ya padahal wadas itu proyek nasional bukan proyeknya pak ganjar ganjarsikatkorupsi;NEGATIF
 kece kita tunggu kabar dari pak ganjar tentang wadas biar semua tahu betapa strategisnya proyek ini ganjarsikatkorupsi lanjutgansemuamurah lanjutgansemuakerja;POSITIF
 moga aja pak prabowo buka obrolan sama pak ganjar ngebahas wadas proyek strategis nih ganjar berhasil ganjarsikatkorupsi lanjutgansemuamurah lanjutgansemuakerja;POSITIF
 semoga deh pak prabowo nanya ke pak ganjar soal wadas biar rakyat indonesia pada tahu kan keren ganjarsikatkorupsi lanjutgansemuamurah lanjutgansemuakerja;POSITIF
 bukannya malah dibalik aja si prabowo ke ganjar kasus wadas gmn pak ;NEGATIF
 kapok sampai kapanpun akan di desak masa agar kpk segera selesaikan kasus korupsi e ktp amp bank jateng yg harus di pertanggung jawaban oleh tidak seperti agus rahardjo amp firli bahuri yg mengeliminasi kasus ganjar ;NEGATIF
 sayang gada yang nanyain ganjar tentang wadas ;NEGATIF
 karna smua yang bikin recok wadas baca menteri2 jokowi ada disitu smua di tkn wakakak yang ada bumerang lagi bener juga kata situ ganjar kan bawa data bisa nanti ditunjukkan ujungnya bahwa kementerian ini kementerian ini terkesan menghambat bikin runya wakakak;NEGATIF
 jelas loh pak kalo wadas itu diselesaikan perselisihannya antara warga dengan pemerinta oleh pak ganjar buka mata ganjarsikatkorupsi lanjutgansemuakerja lanjutgansemuamurah;POSITIF
 maaf koreksi jateng itu propinsi bukan kota kalo jakarta itu kota dg apbn tinggi dan maaf masih banjir juga jateng emang awal dipimpin ganjar adalah prov termiskin 10 th dipimpin ganjar bisa turunin hampir 1jt wrg miskin maaf jkrt malah naik angka kemiskinannya ;NEGATIF
 02 sangat sabar tidak ad pertanyaan tentang e ktp ganjar ato formula anis;POSITIF
 pemerintah pusat seharusnya berterima kasih kepada pak ganjar karena beliau tragedi wadas tidak membesar ganjarsikatkorupsi lanjutgansemuamurah lanjutgansemuakerja;POSITIF
 warga wadas sdh berdialog sehingga didapat kan titik temu jalan tengah penyelesaiannya berkat bantuan yg di fasilitasi oleh pak ganjar ganjarsikatkorupsi lanjutgansemuamurah lanjutgansemuakerja;POSITIF
 wadas proyek pusat yang di beresin ganjar ;POSITIF
 kalau bukan pak ganjar mungkin tragedi wadas akan mencoreng nama pemerintah pusat saat itu ganjarsikatkorupsi lanjutgansemuamurah lanjutgansemuakerja;POSITIF
 wadas susah selesai dengan cara berdialog yg difasilitasi oleh pak ganjar ganjarsikatkorupsi lanjutgansemuamurah lanjutgansemuakerja;POSITIF
padahal kalo pak prabowo diserang soal ham 98 seharusnya bisa counter balik soal wadas ke pak ganjar ;NEGATIF
 wujud transparansi proyek strategis sangat diperlukan agar masyarakat tahu kontribusi ganjar dalam menyelesaikan wadas tum ;POSITIF
 mudah mudahan pak prabowo menggali informasi dari pak ganjar tentang wadas yaa rakyat juga perlu tahu nih pencapaian proyek strategis ini keberhasilannya ada campur tangan pak ganjar ;POSITIF
